Station,District,Elevation(masl),Max,Min,Year
Kushma,Parbat,900,28.5,15,2018
Gurja Khani,Myagdi,2627,NA,NA,2018
Bhimgithhe,Baglung,1008,NA,NA,2018
Chhoser,Mustang,3886,NA,NA,2018
Tansen,Palpa,1183,25.8,15,2018
Bhairahawa Airport,Rupandehi,108,30.7,18,2018
Dumkauli,Nawalpur,183,32.7,19,2018
Bhairahawa Agric ,Rupandehi,112,31,19,2018
Parasi,Nawalparasi,112,31.8,19,2018
Khanchikot,Arghakhachi,1801,21.2,13,2018
Taulihawa,Kapilvastu,106,30.1,19,2018
Tamghas,Gulmi,1547,23.4,12,2018
Semari,Nawalparasi,110,30.9,18,2018
Lumbini,Rupandehi,95,30.9,18,2018
Anp Chour,,738,30.4,15,2018
Sandhikharka,Arghakhachi,1030,26.9,14,2018
Khudi Bazar,Lamjung,838,27.7,NA,2018
Pokhara Airport,Kaski,803.9,27.3,16,2018
Syangja,Syangja,871,27.3,15,2018
Bandipur,Tanahu,991,26.7,14,2018
Gorkha Birenchowk ,Gorkha,724,27.7,17,2018
Chapakot,Syangja,617,29.5,17,2018
Malepatan Pokhara ,Kaski,859,27.4,14,2018
Lumle,Kaski,1738,20.1,12,2018
Khairini Tar,Tanahun,515,29.6,17,2018
Damauli,Tanahun,347,NA,NA,2018
Dandaswara,Syangja,1316,23.6,15,2018
Ghalekharka,Kaski,1665,20.9,12,2018
Begnas,Kaski,682,28.6,16,2018
Bhorletar,Lamjung,469,30.1,17,2018
Panchase,Parbat,2492,17.5,8.1,2018
Humde,Manang,3401,13.8,-1.8,2018
Rampur,Chitwan,189,30.6,18,2018
Daman,Makwanpur,2265,18.6,8.2,2018
Hetauda N F I ,Makwanpur,452,29.2,17,2018
Simara Airport,Bara,137,30.7,18,2018
Parwanipur,Bara,87,30.2,19,2018
Birganj,Parsa,67,NA,NA,2018
Kalaiya,Bara,100,NA,NA,2018
Gaur,Rautahat,77,NA,NA,2018
Bharatpur,Chitwan,216,31.1,19,2018
Kakani,Nuwakot,2002,20.4,11,2018
Chautara,Sindhupalchok,1552,NA,NA,2018
Sarmathang,Sindhupalchok,2574,NA,NA,2018
Dhulikhel,Kavre,1543,NA,12,2018
Khumaltar,Lalitpur,1334,24.9,12,2018
Kathmandu Airport,,1337,25.6,13,2018
Panchkhal,Kavre,857,NA,NA,2018
Dhunibesi,Dhading,991,27.6,16,2018
Panipokhari Kathmandu ,Kathmandu,1329,27.6,13,2018
Nagarkot,Bhaktapur,,NA,NA,2018
Bhaktapur,Bhaktapur,1315,26.5,12,2018
Dhunche,Rasuwa,2005,20.5,10,2018
Pansayakhola,Nuwakot,1982,NA,NA,2018
Changu Narayan,Bhaktapur,1502,NA,NA,2018
Khokana,Lalitpur,1309,25.2,11,2018
Charikot,Dolakha,2132,23,9.8,2018
Jiri,Dolakha,1877,20.9,8.4,2018
Sindhuli Madhi,Sindhuli,556,29.3,17,2018
Janakpur Airport,Dhanusha,76,30.9,19,2018
Hardinath,Dhanusha,93,30,19,2018
Manusmara,Sarlahi,90,30.2,19,2018
Karmaiya,Sarlahi,139,31.5,20,2018
Jalesor,Mahottari,68,30.5,20,2018
Manthali,Ramechhap,497,30.8,17,2018
Kabre,Dolakha,1755,22.8,12,2018
Phattepur,Saptari,101,31.4,19,2018
Udayapur Gadhi,,469,29.7,18,2018
Lahan,Siraha,110,30.4,19,2018
Siraha,,63,31.3,12,2018
Salleri,,2383,NA,6.5,2018
Diktel,Khotang,1612,22.3,14,2018
Rajbiraj,Saptari,68,NA,NA,2018
Num,Sankhuwasabha,1494,NA,NA,2018
