Station,District,Elevation(masl),Max,Min,Year
Dhunibesi,Dhading,991.0,27.6,16.0,2018
Panipokhari Kathmandu ,Kathmandu,1329.0,27.6,13.0,2018
Bhaktapur,Bhaktapur,1315.0,26.5,12.0,2018
Dhunche,Rasuwa,2005.0,20.5,10.0,2018
Khokana,Lalitpur,1309.0,25.2,11.0,2018
Charikot,Dolakha,2132.0,23.0,9.8,2018
Jiri,Dolakha,1877.0,20.9,8.4,2018
Sindhuli Madhi,Sindhuli,556.0,29.3,17.0,2018
Janakpur Airport,Dhanusha,76.0,30.9,19.0,2018
Hardinath,Dhanusha,93.0,30.0,19.0,2018
Manusmara,Sarlahi,90.0,30.2,19.0,2018
Karmaiya,Sarlahi,139.0,31.5,20.0,2018
Jalesor,Mahottari,68.0,30.5,20.0,2018
Manthali,Ramechhap,497.0,30.8,17.0,2018
Kabre,Dolakha,1755.0,22.8,12.0,2018
Phattepur,Saptari,101.0,31.4,19.0,2018
Udayapur Gadhi,,469.0,29.7,18.0,2018
Lahan,Siraha,110.0,30.4,19.0,2018
Siraha,,63.0,31.3,12.0,2018
Diktel,Khotang,1612.0,22.3,14.0,2018
Chainpur East ,Sankhuwasabha,1277.0,24.8,14.0,2018
Pakhribas,Dhankuta,1720.0,21.1,12.0,2018
Dhankuta,Dhankuta,1192.0,25.1,15.0,2018
Dharan Bazar,sunsari,310.0,29.9,20.0,2018
Biratnagar Airport,Morang,72.0,30.1,19.0,2018
Tarahara,Sunsari,120.0,30.6,18.0,2018
Taplejung,Taplejung,1744.0,22.2,12.0,2018
Ilam Tea Estate,Ilam,1208.0,24.4,12.0,2018
Damak,Jhapa,119.0,30.7,19.0,2018
Kanyam Tea Estate,Ilam,1570.0,20.8,13.0,2018
Phidim Panchther ,Panchthar,1157.0,26.5,12.0,2018
Gaida Kankai ,Jhapa,107.0,30.7,17.0,2018
Nuwakot,Nuwakot,966.0,27.7,16.0,2018
Chisapani Karnali ,Kailali,201.0,29.8,19.0,2018
Jyamirebari,,1525.0,22.0,12.0,2018
Okhaldhunga,,1725.0,22.7,12.0,2018
Baitadi Gothalapani ,Baitadi,1352.0,28.2,11.4,2019
Patan West ,Baitadi,1292.0,25.5,13.4,2019
Dadeldhura,Dadeldhura,1879.0,21.2,11.5,2019
Mahendra Nagar,Kanchanpur,197.0,30.6,18.5,2019
Dainsili Sidhhapur ,Baitadi,2083.0,21.4,13.9,2019
Darchula New,Darchula,887.0,28.1,15.1,2019
Patan new,Baitadi,1299.0,24.5,13.3,2019
Silgadhi Doti,Doti,1309.0,25.8,14.1,2019
Bajura Martadi ,Bajura,1598.0,23.7,11.8,2019
Tikapur,Kailali,149.0,31.2,16.2,2019
Dhangadhi Attariya ,Kailali,184.0,31.4,18.2,2019
Godavari West ,Kailali,280.0,31.2,20.2,2019
Mangalsen,Achham,1310.0,25.5,13.4,2019
Dipayal Doti ,Doti,563.0,30.8,15.9,2019
Oli Gaun Patkani ,Achham,989.0,29.3,13.5,2019
Jumla,Jumla,2363.0,20.4,6.1,2019
Gam Shree Nagar,Mugu,2113.0,21.7,10.4,2019
Rara,Mugu,2989.0,15.1,3.2,2019
Nagma,Kalikot,2017.0,21.6,8.4,2019
Dipal Gaun,Jumla,2422.0,21.7,5.4,2019
Simikot,Humla,2993.0,15.0,4.8,2019
Dunai,Dolpa,2098.0,21.5,8.3,2019
Kaigaun,Dolpa,2683.0,20.1,4.5,2019
Jumla Airport,Jumla,2384.0,20.1,4.7,2019
Pusma Camp,Surkhet,953.0,25.2,13.4,2019
Dailekh,Dailekh,1394.0,25.2,14.5,2019
"Surkhet Airport, Birendranagar ",Surkhet,683.0,29.0,16.1,2019
Gulariya,Bardiya,126.0,30.6,18.5,2019
Khajura Nepalganj ,Banke,129.0,30.8,18.7,2019
Nepalgunj Reg Off ,Banke,141.0,30.2,19.9,2019
Sikta,Banke,161.0,31.0,18.5,2019
Mehalkuna,Surkhet,464.0,29.7,16.0,2019
Libang Gaun,Rolpa,1314.0,26.6,13.3,2019
Bijuwar Tar,Pyuthan,835.0,29.4,15.5,2019
Salyan Bazar,Salyan,1557.0,24.7,13.8,2019
Chaurjhari Tar,Rukum,863.0,28.0,14.3,2019
Musikot Rukumkot ,Rukum,1412.0,24.8,13.5,2019
Ghorai Dang ,Dang,663.0,28.8,17.0,2019
Jomsom,Mustang,0.0,17.6,4.6,2019
Thakmarpha,Mustang,2655.0,17.0,5.0,2019
Baglung,Baglung,964.0,27.6,15.3,2019
